dtime,open,high,low,close
2019-12-11 18:15:00+00:00,108.695,108.697,108.695,108.697
2019-12-11 18:16:00+00:00,108.695,108.700,108.692,108.700
2019-12-11 18:18:00+00:00,108.698,108.703,108.698,108.698
2019-12-11 18:19:00+00:00,108.696,108.698,108.696,108.698
2019-12-11 18:20:00+00:00,108.700,108.706,108.700,108.701
2019-12-11 18:22:00+00:00,108.698,108.698,108.698,108.698
2019-12-11 18:23:00+00:00,108.700,108.700,108.698,108.698
2019-12-11 18:24:00+00:00,108.695,108.695,108.692,108.692
2019-12-11 18:25:00+00:00,108.695,108.697,108.692,108.692
2019-12-11 18:26:00+00:00,108.694,108.697,108.694,108.695
2019-12-11 18:28:00+00:00,108.692,108.692,108.690,108.690
2019-12-11 18:29:00+00:00,108.688,108.690,108.685,108.690
